MATCH_0: 	First Half starts.
MATCH_0: 48'	Fouled by Mats Hummels - Borussia Dortmund
MATCH_0: 48'	Vinícius Júnior - Real Madrid - won a free kick in attack.
MATCH_0: 49'	New attacking attempt. Toni Kroos - Real Madrid - shot with right foot from outside the box is saved in the top left corner.
MATCH_0: 49'	Corner - Real Madrid. Conceded by Gregor Kobel.
MATCH_0: 49'	Missed chance. Dani Carvajal - Real Madrid - header inside of six yard box - left side is very close to the goal. Assist - Toni Kroos with a cross after corner.
MATCH_0: 51'	Shot blocked. Ian Maatsen - Borussia Dortmund - shot with right foot from outside the box is blocked. Assist - Niclas Füllkrug.
MATCH_0: 51'	Corner - Borussia Dortmund. Conceded by Eduardo Camavinga.
MATCH_0: 52'	Corner - Borussia Dortmund. Conceded by Ferland Mendy.
MATCH_0: 53'	Missed chance. Mats Hummels - Borussia Dortmund - shot with the head from the centre of the box missed to the left. Assist - Julian Brandt with a cross after corner.
MATCH_0: 56'	Ferland Mendy - Real Madrid - won a free kick in defence.
MATCH_0: 56'	Fouled by Jadon Sancho - Borussia Dortmund
MATCH_0: 56'	Delay in match - injury Dani Carvajal - Real Madrid
MATCH_0: 57'	Delay over. They are ready to continue.
MATCH_0: 57'	Shot blocked. Dani Carvajal - Real Madrid - shot with right foot from the right side of the box is blocked.
MATCH_0: 63'	New attacking attempt. Niclas Füllkrug - Borussia Dortmund - shot with the head from the centre of the box is saved in the right corner. Assist - Karim Adeyemi with a cross.
MATCH_0: 64'	Corner - Real Madrid. Conceded by Julian Ryerson.
MATCH_0: 65'	Corner - Real Madrid. Conceded by Nico Schlotterbeck.
MATCH_0: 66'	Missed chance. Vinícius Júnior - Real Madrid - shot with the head from the centre of the box missed to the left. Assist - Toni Kroos with a cross after corner.
MATCH_0: 71'	Fouled by Nacho - Real Madrid
MATCH_0: 71'	Niclas Füllkrug - Borussia Dortmund - won a free kick in attack.
MATCH_0: 72'	Substitution - Borussia Dortmund. Marco Reus for Karim Adeyemi.
MATCH_0: 73'	Corner - Real Madrid. Conceded by Mats Hummels.
MATCH_0: 73'	Missed chance. Federico Valverde - Real Madrid - shot with right foot from outside the box missed to the left after corner.
MATCH_0: 73'	Corner - Real Madrid. Conceded by Ian Maatsen.
MATCH_0: 74'	Goal! Borussia Dortmund 0, Real Madrid 1. Dani Carvajal - Real Madrid - header inside of six yard box - left side to the top right corner. Assist - Toni Kroos with a cross after corner.
MATCH_0: 77'	Shot blocked. Jude Bellingham - Real Madrid - shot with right foot from the centre of the box is blocked. Assist - Eduardo Camavinga.
MATCH_0: 77'	Corner - Real Madrid. Conceded by Nico Schlotterbeck.
MATCH_0: 79'	Eduardo Camavinga - Real Madrid - won a free kick in attack.
MATCH_0: 79'	Fouled by Mats Hummels - Borussia Dortmund
MATCH_0: 79'	Mats Hummels - Borussia Dortmund - receive yellow card for a foul.
MATCH_0: 80'	New attacking attempt. Toni Kroos - Real Madrid - shot with right foot from outside the box is saved in the left corner.
MATCH_0: 80'	Substitution - Borussia Dortmund. Donyell Malen for Emre Can.
MATCH_0: 81'	Substitution - Borussia Dortmund. Sébastien Haller for Julian Brandt.
MATCH_0: 81'	New attacking attempt. Eduardo Camavinga - Real Madrid - shot with left foot from outside the box is saved in the top left corner. Assist - Jude Bellingham.
MATCH_0: 81'	Corner - Real Madrid. Conceded by Gregor Kobel.
MATCH_0: 82'	New attacking attempt. Nacho - Real Madrid - shot with the head from the centre of the box is saved in the top centre of the goal. Assist - Toni Kroos with a cross.
MATCH_0: 83'	Goal! Borussia Dortmund 0, Real Madrid 2. Vinícius Júnior - Real Madrid - shot with left foot from the centre of the box to the right corner. Assist - Jude Bellingham.
MATCH_0: 85'	Substitution - Real Madrid. Joselu for Jude Bellingham.
MATCH_0: 86'	Substitution - Real Madrid. Luka Modric for Toni Kroos.
MATCH_0: 86'	Fouled by Luka Modric - Real Madrid
MATCH_0: 86'	Marcel Sabitzer - Borussia Dortmund - won a free kick in defence.
MATCH_0: 87'	Fouled by Federico Valverde - Real Madrid
MATCH_0: 87'	Marcel Sabitzer - Borussia Dortmund - won a free kick in defence.
MATCH_0: 87'	Substitution - Borussia Dortmund. Jamie Bynoe-Gittens for Jadon Sancho.
MATCH_0: 87'	Shot blocked. Jamie Bynoe-Gittens - Borussia Dortmund - shot with left foot from outside the box is blocked.
MATCH_0: 87'	Offside - Borussia Dortmund. Niclas Füllkrug is in offside.
MATCH_0: 88'	Donyell Malen - Borussia Dortmund - won a free kick on the left wing.
MATCH_0: 88'	Fouled by Dani Carvajal - Real Madrid
MATCH_0: 90'	Substitution - Real Madrid. Éder Militão for Rodrygo.
MATCH_0: 90+1'	Eduardo Camavinga - Real Madrid - won a free kick in defence.
MATCH_0: 90+1'	Fouled by Niclas Füllkrug - Borussia Dortmund
MATCH_0: 90+3'	Missed chance. Mats Hummels - Borussia Dortmund - shot with right foot from outside the box missed.
MATCH_0: 90+4'	Substitution - Real Madrid. Lucas Vázquez for Vinícius Júnior.
MATCH_0: 90+4'	Fouled by Ferland Mendy - Real Madrid
MATCH_0: 90+4'	Jamie Bynoe-Gittens - Borussia Dortmund - won a free kick on the right wing.
MATCH_0: 90+5'	Corner - Borussia Dortmund. Conceded by Éder Militão.
MATCH_0: 90+6'	Second Half ended - Borussia Dortmund 0, Real Madrid 2.
MATCH_0: 	Thats all. Game finished - Borussia Dortmund 0, Real Madrid 2.
MATCH_1: 	First Half starts.
MATCH_1: 1'	New attacking attempt. Leroy Sané - FC Bayern München - shot with left foot from a diffucult position on the left is saved by goalkeeper in the centre of the goal. Assist - Harry Kane with a through ball.
MATCH_1: 2'	Offside - Real Madrid. Jude Bellingham is in offside.
MATCH_1: 5'	Corner - FC Bayern München. Conceded by Nacho.
MATCH_1: 5'	Corner - FC Bayern München. Conceded by Federico Valverde.
MATCH_1: 6'	New attacking attempt. Harry Kane - FC Bayern München - shot with left foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist - Leroy Sané.
MATCH_1: 7'	Federico Valverde - Real Madrid - won a free kick in attack.
MATCH_1: 7'	Fouled by Leon Goretzka - FC Bayern München
MATCH_1: 7'	Missed chance. Leroy Sané - FC Bayern München - shot with left foot from the left side of the box goes high. Assist - Harry Kane following a fast break.
MATCH_1: 8'	Fouled by Leon Goretzka - FC Bayern München
MATCH_1: 8'	Lucas Vázquez - Real Madrid - won a free kick on the right wing.
MATCH_1: 9'	Missed chance. Harry Kane - FC Bayern München - shot with right foot from more than 35 yards goes high. Assist - Noussair Mazraoui following a fast break.
MATCH_1: 12'	Missed chance. Jamal Musiala - FC Bayern München - shot with left foot from the right side of the box goes high. Assist - Thomas Müller.
MATCH_1: 16'	Missed chance. Jamal Musiala - FC Bayern München - shot with right foot from outside the box missed to the left. Assist - Harry Kane.
MATCH_1: 20'	Corner - Real Madrid. Conceded by Noussair Mazraoui.
MATCH_1: 22'	Fouled by Thomas Müller - FC Bayern München
MATCH_1: 22'	Toni Kroos - Real Madrid - won a free kick in defence.
MATCH_1: 24'	Goal! FC Bayern München 0, Real Madrid 1. Vinícius Júnior - Real Madrid - shot with right foot from the centre of the box to the centre of the goal. Assist - Toni Kroos with a through ball.
MATCH_1: 30'	Shot blocked. Leon Goretzka - FC Bayern München - shot with right foot from the centre of the box is blocked. Assist - Jamal Musiala.
MATCH_1: 34'	Corner - Real Madrid. Conceded by Joshua Kimmich.
MATCH_1: 38'	Corner - FC Bayern München. Conceded by Rodrygo.
MATCH_1: 38'	Andriy Lunin - Real Madrid - won a free kick in defence.
MATCH_1: 38'	Fouled by Konrad Laimer - FC Bayern München
MATCH_1: 39'	Fouled by Vinícius Júnior - Real Madrid
MATCH_1: 39'	Joshua Kimmich - FC Bayern München - won a free kick in defence.
MATCH_1: 40'	Fouled by Nacho - Real Madrid
MATCH_1: 40'	Jamal Musiala - FC Bayern München - won a free kick in attack.
MATCH_1: 42'	Missed chance. Harry Kane - FC Bayern München - shot with right foot from outside the box is close, but missed to the left from a free kick.
MATCH_1: 43'	Fouled by Noussair Mazraoui - FC Bayern München
MATCH_1: 43'	Jude Bellingham - Real Madrid - won a free kick in attack.
MATCH_1: 43'	Noussair Mazraoui - FC Bayern München - receive yellow card for a foul.
MATCH_1: 45'	Shot blocked. Rodrygo - Real Madrid - shot with right foot from outside the box is blocked.
MATCH_1: 45'	Corner - Real Madrid. Conceded by Harry Kane.
MATCH_1: 45'	Missed chance. Nacho - Real Madrid - shot with the head from the centre of the box missed to the left. Assist - Toni Kroos with a cross after corner.
MATCH_1: 45'	Corner - Real Madrid. Conceded by Konrad Laimer.
MATCH_1: 45+1'	First Half ended - FC Bayern München 0, Real Madrid 1.
MATCH_1: 45'	Second Half starts FC Bayern München 0, Real Madrid 1.
MATCH_1: 45'	Substitution - FC Bayern München. Raphaël Guerreiro for Leon Goretzka.
MATCH_1: 51'	New attacking attempt. Toni Kroos - Real Madrid - shot with right foot from the left side of the box is saved in the top centre of the goal. Assist - Jude Bellingham.
MATCH_1: 53'	Goal! FC Bayern München 1, Real Madrid 1. Leroy Sané - FC Bayern München - shot with left foot from the right side of the box to the right corner. Assist - Konrad Laimer.
MATCH_1: 56'	Penalty FC Bayern München. Jamal Musiala draws a foul in the penalty area.
MATCH_1: 56'	Penalty conceded by Lucas Vázquez - Real Madrid - after a foul in the penalty area.
MATCH_1: 57'	Goal! FC Bayern München 2, Real Madrid 1. Harry Kane - FC Bayern München - converts the penalty with a shot with right foot to the left corner.
MATCH_1: 61'	Fouled by Konrad Laimer - FC Bayern München
MATCH_1: 61'	Jude Bellingham - Real Madrid - won a free kick in defence.
MATCH_1: 62'	Shot blocked. Rodrygo - Real Madrid - shot with right foot from the right side of the box is blocked. Assist - Toni Kroos.
MATCH_1: 64'	Shot blocked. Vinícius Júnior - Real Madrid - shot with right foot from the right side of the box is blocked. Assist - Aurélien Tchouaméni.
MATCH_1: 64'	Fouled by Toni Kroos - Real Madrid
MATCH_1: 64'	Harry Kane - FC Bayern München - won a free kick in defence.
MATCH_1: 64'	Toni Kroos - Real Madrid - receive yellow card for a foul.
MATCH_1: 65'	Substitution - Real Madrid. Eduardo Camavinga for Nacho.
MATCH_1: 65'	Fouled by Eduardo Camavinga - Real Madrid
MATCH_1: 65'	Jamal Musiala - FC Bayern München - won a free kick in defence.
MATCH_1: 66'	Shot blocked. Harry Kane - FC Bayern München - shot with left foot from the centre of the box is blocked. Assist - Noussair Mazraoui.
MATCH_1: 66'	Corner - FC Bayern München. Conceded by Antonio Rüdiger.
MATCH_1: 67'	New attacking attempt. Eric Dier - FC Bayern München - shot with the head from the centre of the box is saved by goalkeeper in the centre of the goal. Assist - Joshua Kimmich with a cross.
MATCH_1: 68'	Fouled by Eduardo Camavinga - Real Madrid
MATCH_1: 68'	Konrad Laimer - FC Bayern München - won a free kick in defence.
MATCH_1: 70'	Corner - FC Bayern München. Conceded by Federico Valverde.
MATCH_1: 71'	Corner - FC Bayern München. Conceded by Andriy Lunin.
MATCH_1: 71'	Shot blocked. Eric Dier - FC Bayern München - shot with the head from the centre of the box is blocked. Assist - Joshua Kimmich with a cross.
MATCH_1: 73'	Shot blocked. Federico Valverde - Real Madrid - shot with right foot from the right side of the box is blocked. Assist - Rodrygo.
MATCH_1: 74'	Fouled by Konrad Laimer - FC Bayern München
MATCH_1: 74'	Vinícius Júnior - Real Madrid - won a free kick on the left wing.
MATCH_1: 75'	Fouled by Harry Kane - FC Bayern München
MATCH_1: 75'	Toni Kroos - Real Madrid - won a free kick on the left wing.
MATCH_1: 75'	Substitution - Real Madrid. Luka Modric for Jude Bellingham.
MATCH_1: 76'	Substitution - Real Madrid. Brahim Díaz for Toni Kroos.
MATCH_1: 76'	Fouled by Luka Modric - Real Madrid
MATCH_1: 76'	Leroy Sané - FC Bayern München - won a free kick in defence.
MATCH_1: 78'	Fouled by Lucas Vázquez - Real Madrid
MATCH_1: 78'	Jamal Musiala - FC Bayern München - won a free kick on the left wing.
MATCH_1: 79'	New attacking attempt. Vinícius Júnior - Real Madrid - shot with left foot from a diffucult position on the left is saved by goalkeeper in the centre of the goal. Assist - Luka Modric.
MATCH_1: 79'	Corner - Real Madrid. Conceded by Manuel Neuer.
MATCH_1: 80'	Shot blocked. Brahim Díaz - Real Madrid - shot with left foot from outside the box is blocked.
MATCH_1: 80'	Offside - Real Madrid. Vinícius Júnior is in offside.
MATCH_1: 80'	Substitution - FC Bayern München. Serge Gnabry for Thomas Müller.
MATCH_1: 82'	Penalty Real Madrid. Rodrygo draws a foul in the penalty area.
MATCH_1: 82'	Penalty conceded by Kim Min-Jae - FC Bayern München - after a foul in the penalty area.
MATCH_1: 82'	Kim Min-Jae - FC Bayern München - receive yellow card for a foul.
MATCH_1: 83'	Goal! FC Bayern München 2, Real Madrid 2. Vinícius Júnior - Real Madrid - converts the penalty with a shot with right foot to the centre of the goal.
MATCH_1: 85'	Missed chance. Serge Gnabry - FC Bayern München - shot with left foot from the centre of the box is high and wide to the left. Assist - Joshua Kimmich.
MATCH_1: 86'	Brahim Díaz - Real Madrid - won a free kick in defence.
MATCH_1: 86'	Fouled by Konrad Laimer - FC Bayern München
MATCH_1: 87'	Substitution - Real Madrid. Joselu for Rodrygo.
MATCH_1: 87'	Substitution - FC Bayern München. Alphonso Davies for Leroy Sané.
MATCH_1: 90'	Fouled by Eric Dier - FC Bayern München
MATCH_1: 90'	Joselu - Real Madrid - won a free kick in defence.
MATCH_1: 90'	Fouled by Joselu - Real Madrid
MATCH_1: 90'	Kim Min-Jae - FC Bayern München - won a free kick in defence.
MATCH_1: 90+1'	Alphonso Davies - FC Bayern München - won a free kick in defence.
MATCH_1: 90+1'	Fouled by Lucas Vázquez - Real Madrid
MATCH_1: 90+1'	Lucas Vázquez - Real Madrid - receive yellow card for a foul.
MATCH_1: 90+4'	Second Half ended - FC Bayern München 2, Real Madrid 2.
MATCH_1: 	Thats all. Game finished - FC Bayern München 2, Real Madrid 2.
MATCH_2: 	First Half starts.
MATCH_2: 2'	Fouled by Emre Can - Borussia Dortmund
MATCH_2: 2'	Ousmane Dembélé - Paris Saint Germain - won a free kick in defence.
MATCH_2: 4'	Delay in match - Paris Saint Germain
MATCH_2: 5'	Delay over. They are ready to continue.
MATCH_2: 8'	Fouled by Emre Can - Borussia Dortmund
MATCH_2: 8'	Ousmane Dembélé - Paris Saint Germain - won a free kick in defence.
MATCH_2: 11'	Missed chance. Ousmane Dembélé - Paris Saint Germain - shot with right foot from outside the box missed to the left. Assist - Kylian Mbappé.
MATCH_2: 14'	New attacking attempt. Marcel Sabitzer - Borussia Dortmund - shot with right foot from a diffucult position on the right is saved in the right corner. Assist - Julian Brandt.
MATCH_2: 16'	Offside - Paris Saint Germain. Kylian Mbappé is in offside.
MATCH_2: 18'	Missed chance. Ousmane Dembélé - Paris Saint Germain - shot with left foot from outside the box is close, but missed. Assist - Achraf Hakimi.
MATCH_2: 18'	Offside - Paris Saint Germain. Kylian Mbappé is in offside.
MATCH_2: 19'	Fouled by Ian Maatsen - Borussia Dortmund
MATCH_2: 19'	Warren Zaïre-Emery - Paris Saint Germain - won a free kick on the right wing.
MATCH_2: 19'	Ian Maatsen - Borussia Dortmund - receive yellow card for a foul.
MATCH_2: 28'	Fouled by Achraf Hakimi - Paris Saint Germain
MATCH_2: 28'	Karim Adeyemi - Borussia Dortmund - won a free kick on the left wing.
MATCH_2: 29'	Shot blocked. Julian Brandt - Borussia Dortmund - shot with right foot from outside the box is blocked. Assist - Jadon Sancho.
MATCH_2: 30'	Corner - Borussia Dortmund. Conceded by Achraf Hakimi.
MATCH_2: 31'	Offside - Borussia Dortmund. Julian Brandt is in offside.
MATCH_2: 33'	Achraf Hakimi - Paris Saint Germain - won a free kick in defence.
MATCH_2: 33'	Fouled by Marcel Sabitzer - Borussia Dortmund
MATCH_2: 36'	Goal! Borussia Dortmund 1, Paris Saint Germain 0. Niclas Füllkrug - Borussia Dortmund - shot with left foot from the centre of the box to the left corner. Assist - Nico Schlotterbeck with a through ball.
MATCH_2: 36'	Delay in match - injury Lucas Hernández - Paris Saint Germain
MATCH_2: 38'	Delay over. They are ready to continue.
MATCH_2: 41'	Delay in match - injury Lucas Hernández - Paris Saint Germain
MATCH_2: 42'	Delay over. They are ready to continue.
MATCH_2: 42'	Substitution - Paris Saint Germain. Beraldo for Lucas Hernández - injury.
MATCH_2: 44'	New attacking attempt. Marcel Sabitzer - Borussia Dortmund - shot with right foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist - Niclas Füllkrug.
MATCH_2: 45'	Missed chance. Warren Zaïre-Emery - Paris Saint Germain - shot with right foot from outside the box is high and wide to the right. Assist - Kylian Mbappé.
MATCH_2: 45+1'	Achraf Hakimi - Paris Saint Germain - won a free kick in attack.
MATCH_2: 45+1'	Fouled by Marcel Sabitzer - Borussia Dortmund
MATCH_2: 45+4'	Fouled by Achraf Hakimi - Paris Saint Germain
MATCH_2: 45+4'	Ian Maatsen - Borussia Dortmund - won a free kick on the left wing.
MATCH_2: 45+5'	New attacking attempt. Marcel Sabitzer - Borussia Dortmund - shot with right foot from the centre of the box is saved in the top centre of the goal. Assist - Julian Brandt.
MATCH_2: 45+5'	First Half ended - Borussia Dortmund 1, Paris Saint Germain 0.
MATCH_2: 45'	Second Half starts Borussia Dortmund 1, Paris Saint Germain 0.
MATCH_2: 46'	Beraldo - Paris Saint Germain - won a free kick in defence.
MATCH_2: 46'	Fouled by Niclas Füllkrug - Borussia Dortmund
MATCH_2: 47'	Corner - Paris Saint Germain. Conceded by Nico Schlotterbeck.
MATCH_2: 48'	New attacking attempt. Bradley Barcola - Paris Saint Germain - shot with right foot from outside the box is saved by goalkeeper in the centre of the goal.
MATCH_2: 48'	Achraf Hakimi - Paris Saint Germain - won a free kick in defence.
MATCH_2: 48'	Fouled by Karim Adeyemi - Borussia Dortmund
MATCH_2: 49'	Fouled by Marcel Sabitzer - Borussia Dortmund
MATCH_2: 49'	Kylian Mbappé - Paris Saint Germain - won a free kick on the left wing.
MATCH_2: 50'	Corner - Borussia Dortmund. Conceded by Warren Zaïre-Emery.
MATCH_2: 51'	Shot blocked. Niclas Füllkrug - Borussia Dortmund - shot with the head from the centre of the box is blocked. Assist - Julian Brandt with a cross.
MATCH_2: 51'	Shot blocked. Kylian Mbappé - Paris Saint Germain - shot with right foot from the left side of the box is blocked. Assist - Achraf Hakimi.
MATCH_2: 51'	Shot blocked. Kylian Mbappé - Paris Saint Germain - shot with right foot from the left side of the box is blocked.
MATCH_2: 51'	Achraf Hakimi - Paris Saint Germain - hits the left post with a shot with right foot from the centre of the box. Assist - Bradley Barcola.
MATCH_2: 52'	Corner - Paris Saint Germain. Conceded by Ian Maatsen.
MATCH_2: 53'	Fouled by Marquinhos - Paris Saint Germain
MATCH_2: 53'	Karim Adeyemi - Borussia Dortmund - won a free kick in defence.
MATCH_2: 53'	Fabián Ruiz - Paris Saint Germain - receive yellow card for a foul.
MATCH_2: 54'	New attacking attempt. Kylian Mbappé - Paris Saint Germain - shot with left foot from the left side of the box is saved by goalkeeper in the centre of the goal. Assist - Bradley Barcola.
MATCH_2: 54'	Beraldo - Paris Saint Germain - won a free kick in defence.
MATCH_2: 54'	Fouled by Niclas Füllkrug - Borussia Dortmund
MATCH_2: 55'	Fouled by Emre Can - Borussia Dortmund
MATCH_2: 55'	Ousmane Dembélé - Paris Saint Germain - won a free kick in attack.
MATCH_2: 56'	Missed chance. Fabián Ruiz - Paris Saint Germain - shot with the head from the centre of the box is close, but missed. Assist - Marquinhos with a cross.
MATCH_2: 57'	Fouled by Bradley Barcola - Paris Saint Germain
MATCH_2: 57'	Julian Ryerson - Borussia Dortmund - won a free kick in defence.
MATCH_2: 58'	Shot blocked. Niclas Füllkrug - Borussia Dortmund - shot with left foot from outside the box is blocked. Assist - Jadon Sancho.
MATCH_2: 58'	Corner - Borussia Dortmund. Conceded by Marquinhos.
MATCH_2: 59'	Missed chance. Julian Brandt - Borussia Dortmund - shot with right foot from outside the box missed to the left. Assist - Niclas Füllkrug with a head.
MATCH_2: 60'	Missed chance. Niclas Füllkrug - Borussia Dortmund - shot with right foot from the centre of the box goes high. Assist - Jadon Sancho.
MATCH_2: 65'	Fouled by Achraf Hakimi - Paris Saint Germain
MATCH_2: 65'	Ian Maatsen - Borussia Dortmund - won a free kick on the left wing.
MATCH_2: 65'	Substitution - Paris Saint Germain. Randal Kolo Muani for Bradley Barcola.
MATCH_2: 66'	Missed chance. Niclas Füllkrug - Borussia Dortmund - shot with the head from the centre of the box goes high. Assist - Ian Maatsen with a cross .
MATCH_2: 72'	New attacking attempt. Ousmane Dembélé - Paris Saint Germain - shot with left foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist - Kylian Mbappé with a through ball.
MATCH_2: 73'	Nico Schlotterbeck - Borussia Dortmund - receive yellow card for a foul.
MATCH_2: 75'	Shot blocked. Jadon Sancho - Borussia Dortmund - shot with right foot from the right side of the box is blocked. Assist - Julian Ryerson.
MATCH_2: 76'	Achraf Hakimi - Paris Saint Germain - won a free kick in defence.
MATCH_2: 76'	Fouled by Karim Adeyemi - Borussia Dortmund
MATCH_2: 78'	Corner - Paris Saint Germain. Conceded by Julian Ryerson.
MATCH_2: 80'	Missed chance. Ousmane Dembélé - Paris Saint Germain - shot with right foot from the centre of the box goes high. Assist - Achraf Hakimi.
MATCH_2: 82'	Missed chance. Vitinha - Paris Saint Germain - shot with right foot from the centre of the box missed to the left. Assist - Ousmane Dembélé.
MATCH_2: 83'	Substitution - Borussia Dortmund. Marco Reus for Karim Adeyemi.
MATCH_2: 84'	Shot blocked. Julian Brandt - Borussia Dortmund - shot with right foot from the centre of the box is blocked.
MATCH_2: 84'	Missed chance. Marco Reus - Borussia Dortmund - shot with the head from the centre of the box goes high.
MATCH_2: 85'	Fouled by Vitinha - Paris Saint Germain
MATCH_2: 85'	Julian Ryerson - Borussia Dortmund - won a free kick in defence.
MATCH_2: 86'	Delay in match - injury Julian Ryerson - Borussia Dortmund
MATCH_2: 86'	Delay over. They are ready to continue.
MATCH_2: 87'	Missed chance. Fabián Ruiz - Paris Saint Germain - shot with the head from the centre of the box missed. Assist - Vitinha.
MATCH_2: 87'	Substitution - Borussia Dortmund. Marius Wolf for Julian Ryerson - injury.
MATCH_2: 87'	Substitution - Borussia Dortmund. Felix Nmecha for Julian Brandt.
MATCH_2: 88'	Corner - Borussia Dortmund. Conceded by Beraldo.
MATCH_2: 90'	Missed chance. Warren Zaïre-Emery - Paris Saint Germain - shot with the head from the centre of the box is high and wide to the right. Assist - Fabián Ruiz with a cross.
MATCH_2: 90+1'	Substitution - Borussia Dortmund. Youssoufa Moukoko for Niclas Füllkrug.
MATCH_2: 90+5'	Second Half ended - Borussia Dortmund 1, Paris Saint Germain 0.
MATCH_2: 	Thats all. Game finished - Borussia Dortmund 1, Paris Saint Germain 0.
MATCH_3: 	First Half starts.
MATCH_3: 2'	Fouled by Warren Zaïre-Emery - Paris Saint Germain
MATCH_3: 2'	Julian Brandt - Borussia Dortmund - won a free kick on the right wing.
MATCH_3: 3'	New attacking attempt. Niclas Füllkrug - Borussia Dortmund - shot with the head from the centre of the box is saved in the left corner. Assist - Ian Maatsen with a cross.
MATCH_3: 4'	New attacking attempt. Gonçalo Ramos - Paris Saint Germain - shot with left foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist - Achraf Hakimi with a cross.
MATCH_3: 6'	Corner - Paris Saint Germain. Conceded by Karim Adeyemi.
